,time,roll
1,0,-0.17
2,1,-0.16
3,2,-0.22
4,3,-0.21
5,4,-0.2
6,5,-0.25
7,6,-0.89
8,7,-2.39
9,8,-4.01
10,9,-5.34
11,10,-9.95
12,11,-14.63
13,12,-20.12
14,13,-25.08
15,14,-30.33
16,15,-36.07
17,16,-42.99
18,17,-50.36
19,18,-54.26
20,19,-56.34
21,20,-58.62
22,21,-60.93
23,22,-64.51
24,23,-66.62
25,24,-70.69
26,25,-75.37
27,26,-77.42
28,27,-81.58
29,28,-87.99
30,29,-92.4
31,30,-92.45
32,31,-94.08
33,32,-95.53
34,33,-94.4
35,34,-91.44
36,35,-82.36
37,36,-74.33
38,37,-69.17
39,38,-63.03
40,39,-57.74
41,40,-49.54
42,41,-41.35
43,42,-27.91
44,43,-21.11
45,44,-17.37
46,45,-13.69
47,46,-6.17
48,47,-2.61
49,48,-0.93
50,49,2.71
51,50,6.92
52,51,12.44
53,52,18.97
54,53,26.35
55,54,34.37
56,55,38.97
57,56,43
58,57,47.78
59,58,61.52
60,59,70.76
61,60,74.16
62,61,77.75
63,62,89.85
64,63,94.32
65,64,94.38
66,65,94.38
67,66,95.03
68,67,95.27
69,68,95.45
70,69,93.97
71,70,91.42
72,71,81.29
73,72,69.86
74,73,59.17
75,74,44.54
76,75,33.56
77,76,26.22
78,77,18.36
79,78,12.14
80,79,6.34
81,80,-1.25
82,81,-6.09
83,82,-11.31
84,83,-16.68
85,84,-22.02
86,85,-27.67
87,86,-34.19
88,87,-38.75
89,88,-42.93
90,89,-46.08
91,90,-49.17
92,91,-52.08
93,92,-52.87
94,93,-46.8
95,94,-32.37
96,95,-21.95
97,96,-10.96
98,97,-2.31
99,98,0.27
100,99,9.45
101,100,23.87
102,101,35.88
103,102,46.55
104,103,54.94
105,104,59.64
106,105,63.42
107,106,61.59
108,107,55.43
109,108,46.59
110,109,33.3
111,110,22.88
112,111,13.37
113,112,6.49
114,113,1.38
115,114,-2.51
116,115,-12.16
117,116,-24.36
118,117,-37.08
119,118,-44.36
120,119,-48.09
121,120,-49.23
122,121,-43.1
123,122,-33.27
124,123,-23.48
125,124,-16.66
126,125,-7.81
127,126,-1.58
128,127,0.79
129,128,7.14
130,129,19.68
131,130,35.62
132,131,49.12
133,132,60.65
134,133,59.71
135,134,38.59
136,135,24.35
137,136,8.42
138,137,-3.68
139,138,-20.75
140,139,-36.57
141,140,-42.38
142,141,-39.99
143,142,-21.56
144,143,-9.5
145,144,0.84
146,145,15.33
147,146,37.41
148,147,53.59
149,148,65.1
150,149,71.35
151,150,74.52
152,151,77.91
153,152,79.39
154,153,77.72
155,154,69.77
156,155,56.22
157,156,35.28
158,157,18.89
159,158,5.09
160,159,-1.37
161,160,-8.73
162,161,-25.17
163,162,-44.47
164,163,-66.06
165,164,-66.56
166,165,-48.25
167,166,-22.26
168,167,-4.4
169,168,-0.06
170,169,7.99
171,170,24.83
172,171,43.03
173,172,55.32
174,173,51.41
175,174,23.65
176,175,-0.96
177,176,-0.65
178,177,0.21
179,178,0.23
180,179,0.26
181,180,0.28
182,181,0.31
183,182,0.33
184,183,0.34
185,184,0.36
186,185,0.38
187,186,0.4
188,187,0.41
189,188,0.42
